Symbol,Token,Strike,Close Price
BANKNIFTY31JUL24P45100,50331,45100,3.55
BANKNIFTY31JUL24P45200,50340,45200,3.55
BANKNIFTY31JUL24P45300,50342,45300,3.1
BANKNIFTY31JUL24P45400,50344,45400,3.45
BANKNIFTY31JUL24P45500,50346,45500,3.1
BANKNIFTY31JUL24P45600,50349,45600,3.9
BANKNIFTY31JUL24P45700,50353,45700,0.05
BANKNIFTY31JUL24P45800,50357,45800,3.3
BANKNIFTY31JUL24P45900,50359,45900,4.9
BANKNIFTY31JUL24P46000,50362,46000,3.4
BANKNIFTY31JUL24P46100,50366,46100,3.2
BANKNIFTY31JUL24P46200,50370,46200,3.1
BANKNIFTY31JUL24P46300,50374,46300,4.5
BANKNIFTY31JUL24P46400,50376,46400,3.1
BANKNIFTY31JUL24P46500,50379,46500,4.05
BANKNIFTY31JUL24P46600,50381,46600,4.15
BANKNIFTY31JUL24P46700,50383,46700,4.15
BANKNIFTY31JUL24P46800,50385,46800,4.55
BANKNIFTY31JUL24P46900,50390,46900,5.05
BANKNIFTY31JUL24P47000,50394,47000,5.25
BANKNIFTY31JUL24P47100,50410,47100,5.4
BANKNIFTY31JUL24P47200,50413,47200,5.6
BANKNIFTY31JUL24P47300,50417,47300,5.95
BANKNIFTY31JUL24P47400,50419,47400,6.6
BANKNIFTY31JUL24P47500,50427,47500,6.85
BANKNIFTY31JUL24P47600,50432,47600,7.1
BANKNIFTY31JUL24P47700,50434,47700,7.55
BANKNIFTY31JUL24P47800,50436,47800,8.25
BANKNIFTY31JUL24P47900,50438,47900,8.85
BANKNIFTY31JUL24P48000,50440,48000,9.45
BANKNIFTY31JUL24P48100,50442,48100,10.0
BANKNIFTY31JUL24P48200,50446,48200,10.9
BANKNIFTY31JUL24P48300,50450,48300,11.8
BANKNIFTY31JUL24P48400,50452,48400,13.05
BANKNIFTY31JUL24P48500,50454,48500,13.8
BANKNIFTY31JUL24P48600,50456,48600,14.55
BANKNIFTY31JUL24P48700,50458,48700,17.05
BANKNIFTY31JUL24P48800,50460,48800,18.7
BANKNIFTY31JUL24P48900,50464,48900,20.85
BANKNIFTY31JUL24P49000,50474,49000,23.2
BANKNIFTY31JUL24P49100,50482,49100,24.9
BANKNIFTY31JUL24P49200,50487,49200,27.45
BANKNIFTY31JUL24P49300,50502,49300,31.8
BANKNIFTY31JUL24P49400,50504,49400,35.95
BANKNIFTY31JUL24P49500,50510,49500,39.1
BANKNIFTY31JUL24P49600,50512,49600,43.95
BANKNIFTY31JUL24P49700,50514,49700,49.35
BANKNIFTY31JUL24P49800,50516,49800,57.5
BANKNIFTY31JUL24P49900,50518,49900,66.25
BANKNIFTY31JUL24P50000,50520,50000,75.35
BANKNIFTY31JUL24P50100,50524,50100,83.55
BANKNIFTY31JUL24P50200,50558,50200,97.65
BANKNIFTY31JUL24P50300,50567,50300,109.45
BANKNIFTY31JUL24P50400,50571,50400,123.1
BANKNIFTY31JUL24P50500,50573,50500,140.5
BANKNIFTY31JUL24P50600,50579,50600,163.6
BANKNIFTY31JUL24P50700,50581,50700,179.9
BANKNIFTY31JUL24C50800,50584,50800,809.85
BANKNIFTY31JUL24C50900,50591,50900,745.65
BANKNIFTY31JUL24C51000,50593,51000,672.0
BANKNIFTY31JUL24C51100,50595,51100,603.6
BANKNIFTY31JUL24C51200,50603,51200,542.75
BANKNIFTY31JUL24C51300,50605,51300,487.3
BANKNIFTY31JUL24C51400,50609,51400,445.05
